game,eta,method,test_median,theta_err,time,mu,L,lambda_min_M
5,0.5,VI,1.9288611006698995,1.0304353348735524,0.05180587500217371,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.7,SUB,0.24474527784167954,0.4335143730542124,1.05201054198551,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.7,VI,1.9216636703525238,1.0304384773631812,0.055473624990554526,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.9,SUB,0.32905516761872766,0.4796122766494317,1.053541542001767,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.9,VI,1.9180974159892095,1.0304369030916567,0.046744166989810765,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,1.0,SUB,0.3407517415293312,0.48556316991490506,1.0445559590007178,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,1.0,VI,1.9359158025538998,1.0304378308522026,0.04401395900640637,0.7826015566621487,1.6992908383782592,0.2804910626230266
6,0.0,SUB,0.03340572292652444,0.30802322621329503,1.0544199580035638,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.0,VI,0.00046348680000426296,0.26674584821640385,0.05814624999766238,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.01,SUB,0.03933679239767836,0.3081682604286105,1.034696124988841,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.01,VI,0.007133271221874599,0.6502292747259473,0.05634933401597664,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.05,SUB,0.05471203122858677,0.30886813722483314,1.0412920000089798,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.05,VI,1.855489690729086,0.988275467239863,0.05797562497900799,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.1,SUB,0.05546428655590227,0.3106750464201432,1.0567292500054464,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.1,VI,1.878589982897922,0.9882761016598206,0.052468375011812896,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.3,SUB,0.12541796154583643,0.31738752407445225,1.0684873340069316,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.3,VI,1.8481842868110918,0.9882749247143535,0.049437084002420306,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.5,SUB,0.18010407130684336,0.3352747313991066,1.0324288749834523,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.5,VI,1.8586413522623801,0.9882879470276668,0.050707083981251344,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.7,SUB,0.21359647947188,0.36713696143820435,1.0422519170097075,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.7,VI,1.8298301584512933,0.9882757452171473,0.05315929200151004,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.9,SUB,0.22603239911945486,0.4108853659358537,1.0415850419958588,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,0.9,VI,1.855958508773161,0.9882755361275872,0.055463166994741186,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,1.0,SUB,0.24271859095040837,0.44636063519531405,1.0426116249873303,0.7805473770230182,1.6884790641058602,0.2523031180118792
6,1.0,VI,1.8785463751579785,0.9882760202540949,0.05252399999881163,0.7805473770230182,1.6884790641058602,0.2523031180118792
7,0.0,SUB,0.031653412908545564,0.33598781110785797,1.040319666994037,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.0,VI,3.830185207398151e-07,0.27770242089205144,0.06387716700555757,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.01,SUB,0.03513527243867473,0.33622406652442094,1.03641312502441,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.01,VI,0.007100488953597272,0.645346623395624,0.05562412500148639,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.05,SUB,0.04737800510563616,0.33663385260336254,1.0398127080115955,0.7472067491507872,1.7296399378953091,0.25506892584942825
